"CODE","DAY","CCY","PRECLOSE","OPEN","HIGH","LOW","CLOSE","CHANGE","PCTCHANGE","VOLUME","AMOUNT","ADJPRECLOSE","ADJOPEN","ADJHIGH","ADJLOW","ADJCLOSE","ADJFACTOR","AVGPRICE","TRADESTATUS","TRADESTATUSCODE","LIMIT","STOPPING","PRESETTLE","SETTLE","OI","FS_INFO_TYPE","OPDATE","SOURCE","OICHANGE","DIRTYPRICE","NETPRICE","NAV","ADJNAV","NAV_ADJFACTOR","ROOT","BID","ASK","MID","FIRST_NOTICE_DAY","LAST_TRADING_DAY","PREHALFH_AVG_PRICE","ADJ_FACTOR_NET","ADJ_CLOSE_NET","DELTA","GAMMA","VEGA","THETA","RHO"
IM2609.CFE,"2026-07-02",,,8475.4,8556,8344,8370.2,-155.4,,178178,30127371.264,,,,,,,,,,,,8525.6,8392.4,215598,"2",2026-07-05 17:30:35,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-07-03",,,8401,8475,8337.8,8373,-19.4,,152704,25666012.076,,,,,,,,,,,,8392.4,8403,212690,"2",2026-07-06 17:30:44,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-07-06",,,8403,8419.8,8213,8265,-138,,151626,25161264.676,,,,,,,,,,,,8403,8255.2,215188,"2",2026-07-09 17:30:58,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-07-07",,,8235,8274.2,8068.8,8115.2,-140,,150751,24580097.428,,,,,,,,,,,,8255.2,8103,220115,"2",2026-07-10 17:30:54,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-07-08",,,8140.2,8149.8,7965,7974,-129,,167678,26927106.068,,,,,,,,,,,,8103,7995.8,232092,"2",2026-07-11 17:30:45,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-07-09",,,8034.8,8140.2,7868.2,8127.4,131.6,,195417,31274145.632,,,,,,,,,,,,7995.8,8092.6,239360,"2",2026-07-12 17:30:36,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-07-10",,,8140.2,8244.8,8016,8019.4,-73.2,,171301,27987657.224,,,,,,,,,,,,8092.6,8096,231960,"2",2026-07-13 16:30:42,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-07-13",,,7995,8029.8,7651,7684.4,-411.6,,200999,31400502.16,,,,,,,,,,,,8096,7688.2,247724,"2",2026-07-16 17:30:54,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-07-14",,,7720,7810.6,7580,7788,99.8,,217776,33560348.724,,,,,,,,,,,,7688.2,7766.8,250166,"2",2026-07-17 17:30:56,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-07-15",,,7838,7846,7661.4,7723.2,-43.6,,174869,27107070.416,,,,,,,,,,,,7766.8,7699,243227,"2",2026-07-18 17:30:42,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-07-16",,,7648.6,7750.2,7511,7552.6,-146.4,,192392,29379649.932,,,,,,,,,,,,7699,7555,256306,"2",2026-07-19 17:30:36,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-07-17",,,7520,7534.6,7018.8,7065.2,-489.8,,282694,41193460.32,,,,,,,,,,,,7555,7143.6,273252,"2",2026-07-20 17:30:43,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-07-20",,,7165.2,7237,6652.2,6849.8,-293.8,,313762,43714475.492,,,,,,,,,,,,7143.6,6779.6,274654,"2",2026-07-23 17:30:59,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-07-21",,,6920,7175.8,6641.8,7164.4,384.8,,294238,40948986.136,,,,,,,,,,,,6779.6,7141.6,269678,"2",2026-07-24 17:30:59,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-07-22",,,7148,7194.6,6985.8,7028.8,-112.8,,231584,32852105.1,,,,,,,,,,,,7141.6,7027,255044,"2",2026-07-24 17:30:59,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-07-23",,,7061,7159.6,7000.6,7071.6,44.6,,186983,26473428.792,,,,,,,,,,,,7027,7068.8,250139,"2",2026-07-26 17:30:39,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-07-24",,,7000,7054.8,6866,6880.2,-188.6,,207512,28837893.268,,,,,,,,,,,,7068.8,6902.4,253150,"2",2026-07-27 17:30:53,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-07-27",,,6880.4,7155,6880.4,7148.8,246.4,,218451,30763305.252,,,,,,,,,,,,6902.4,7106.6,256192,"2",2026-07-29 17:30:55,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-07-28",,,7020,7075.6,6888.8,6943.2,-163.4,,201223,28074817.36,,,,,,,,,,,,7106.6,6920.4,245782,"2",2026-07-29 17:30:55,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-07-29",,,6966,7081,6825,7047.2,126.8,,264111,36689338.6,,,,,,,,,,,,6920.4,7024.2,270906,"2",2026-07-29 17:30:55,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-06-01",,,7905,8000,7860.2,7880.4,5.8,,22039,3491733.144,,,,,,,,,,,,7874.6,7887,66830,"2",2026-06-04 17:31:16,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-06-02",,,7905,7968,7780.2,7900,13,,22022,3471200.208,,,,,,,,,,,,7887,7910,69187,"2",2026-06-05 17:31:55,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-06-03",,,7918,8049.8,7862.2,7919.6,9.6,,23285,3712257.876,,,,,,,,,,,,7910,7916.6,70421,"2",2026-06-06 17:31:19,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-06-04",,,7870,7950.8,7867,7908,-8.6,,17503,2771631.74,,,,,,,,,,,,7916.6,7911.4,68690,"2",2026-06-07 17:30:57,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-06-05",,,7888.8,7987.6,7794,7831,-80.4,,22736,3583439.168,,,,,,,,,,,,7911.4,7841,72076,"2",2026-06-08 17:31:47,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-06-08",,,7730,7771.4,7521,7630,-211,,28169,4319712.272,,,,,,,,,,,,7841,7601.2,75443,"2",2026-06-11 17:30:58,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-06-09",,,7695,7782.8,7618,7764.4,163.2,,22953,3533231.6,,,,,,,,,,,,7601.2,7761,74973,"2",2026-06-12 17:31:00,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
